Nome,CPF,Camiseta,Vestido
João Silva,123.456.789-01,M,M
Maria Santos,234.567.890-12,P,P
Pedro Oliveira,345.678.901-23,G,G
Ana Costa,456.789.012-34,PP,PP
Carlos Pereira,567.890.123-45,GG,GG
Lucia Ferreira,678.901.234-56,M,M
Roberto Lima,789.012.345-67,G,G
Fernanda Souza,890.123.456-78,P,P
Ricardo Alves,901.234.567-89,XG,XG
Juliana Rocha,012.345.678-90,M,M
Gustavo Martins,123.456.789-02,G,G
Patricia Dias,234.567.890-13,P,P
Rafael Cardoso,345.678.901-24,GG,GG
Camila Ribeiro,456.789.012-35,PP,PP
Diego Nascimento,567.890.123-46,M,M
Beatriz Moreira,678.901.234-57,P,P
Thiago Barbosa,789.012.345-68,G,G
Larissa Gomes,890.123.456-79,M,M
Bruno Teixeira,901.234.567-80,XG,XG
Vanessa Castro,012.345.678-91,P,P
Leandro Pinto,123.456.789-03,G,G
Priscila Mendes,234.567.890-14,M,M
Fabio Correia,345.678.901-25,GG,GG
Renata Vieira,456.789.012-36,PP,PP
Marcelo Araujo,567.890.123-47,M,M
Isabela Freitas,678.901.234-58,P,P
Andre Monteiro,789.012.345-69,G,G
Caroline Lopes,890.123.456-70,M,M
Vinicius Ramos,901.234.567-81,XG,XG
Natalia Campos,012.345.678-92,P,P
